BEGIN_COMPPROPS
###### RefDes:partName,partNumber,Tolerance,Value
MT4:'MTBLOCK','MTBLOCK',,
MT3:'MTBLOCK','MTBLOCK',,
MT5:'MTBLOCK','MTBLOCK',,
MT6:'MTBLOCK','MTBLOCK',,
MT2:'MTG125/250','MTG125/250',,
C818:'CC0603','CC0603',,'1uF'
C216:'CC0603','CC0603',,'DNI'
C248:'CC0603','CC0603',,'22uf'
C697:'CC0603','CC0603',,'22uF'
C238:'CC0603','CC0603',,'22uF'
C270:'CC0603','CC0603',,'0.1uF'
C279:'CC0603','CC0603',,'22uF'
C442:'CC0603','CC0603',,'0.1uF'
C811:'CC0603','CC0603',,'1uF'
C274:'CC0603','CC0603',,'DNI'
C695:'CC0603','CC0603',,'22uF'
C213:'CC0603','CC0603',,'DNI'
C619:'CC0603','CC0603',,'0.1uF'
C207:'CC0603','CC0603',,'22uF'
C392:'CC0603','CC0603',,'DNI'
C813:'CC0603','CC0603',,'0.1uF'
C214:'CC0603','CC0603',,'DNI'
C773:'CC0603','CC0603',,'0.1uF'
C810:'CC0603','CC0603',,'1uF'
C242:'CC0603','CC0603',,'22uF'
C308:'CC0603','CC0603',,'22uF'
C812:'CC0603','CC0603',,'0.1uF'
C451:'CC0603','CC0603',,'0.1uF'
C217:'CC0603','CC0603',,'22uF'
C363:'CC0603','CC0603',,'22uF'
C218:'CC0603','CC0603',,'22uF'
C259:'CC0603','CC0603',,'0.1uF'
C272:'CC0603','CC0603',,'22uF'
C816:'CC0603','CC0603',,'1uF'
C251:'CC0603','CC0603',,'22uF'
C219:'CC0603','CC0603',,'0.1uf'
C445:'CC0603','CC0603',,'0.1uF'
C220:'CC0603','CC0603',,'0.1uF'
C597:'CC0603','CC0603',,'22uF'
C221:'CC0603','CC0603',,'22uF'
C222:'CC0603','CC0603',,'22uF'
C395:'CC0603','CC0603',,'22uF'
C253:'CC0603','CC0603',,'DNI'
C560:'CC0603','CC0603',,'22uF'
C233:'CC0603','CC0603',,'DNI'
C234:'CC0603','CC0603',,'DNI'
C236:'CC0603','CC0603',,'DNI'
C780:'CC0603','CC0603',,'0.1uF'
C237:'CC0603','CC0603',,'22uF'
C239:'CC0603','CC0603',,'0.1uF'
C261:'CC0603','CC0603',,'22uF'
C240:'CC0603','CC0603',,'0.1uF'
C264:'CC0603','CC0603',,'DNI'
C241:'CC0603','CC0603',,'22uF'
C610:'CC0603','CC0603',,'0.1uF'
C254:'CC0603','CC0603',,'DNI'
C256:'CC0603','CC0603',,'DNI'
C257:'CC0603','CC0603',,'22uF'
C262:'CC0603','CC0603',,'22uF'
C258:'CC0603','CC0603',,'22uf'
C260:'CC0603','CC0603',,'0.1uF'
C243:'CC0603','CC0603',,'DNI'
C401:'CC0603','CC0603',,'DNI'
C268:'CC0603','CC0603',,'22uF'
C244:'CC0603','CC0603',,'DNI'
C246:'CC0603','CC0603',,'DNI'
C247:'CC0603','CC0603',,'22uf'
C396:'CC0603','CC0603',,'22uF'
C373:'CC0603','CC0603',,'22uF'
C269:'CC0603','CC0603',,'22uF'
C134:'CC0603','CC0603',,'22uF'
C249:'CC0603','CC0603',,'0.1uf'
C642:'CC0603','CC0603',,'22uF'
C265:'CC0603','CC0603',,'DNI'
C250:'CC0603','CC0603',,'0.1uF'
C817:'CC0603','CC0603',,'1uF'
C252:'CC0603','CC0603',,'22uF'
C267:'CC0603','CC0603',,'DNI'
C824:'CC0603','CC0603',,'1uF'
C389:'CC0603','CC0603',,'DNI'
C390:'CC0603','CC0603',,'DNI'
C275:'CC0603','CC0603',,'22uf'
C607:'CC0603','CC0603',,'0.1uF'
C276:'CC0603','CC0603',,'22uf'
C798:'CC0603','CC0603',,'22uF'
C408:'CC0603','CC0603',,'0.1uF'
C277:'CC0603','CC0603',,'0.1uF'
C361:'CC0603','CC0603',,'22uF'
C278:'CC0603','CC0603',,'0.1uF'
C280:'CC0603','CC0603',,'22uF'
C613:'CC0603','CC0603',,'0.1uF'
C391:'CC0603','CC0603',,'DNI'
C271:'CC0603','CC0603',,'0.1uF'
C273:'CC0603','CC0603',,'22uF'
C436:'CC0603','CC0603',,'0.1uF'
C394:'CC0603','CC0603',,'DNI'
C372:'CC0603','CC0603',,'22uF'
C397:'CC0603','CC0603',,'0.1uF'
C398:'CC0603','CC0603',,'0.1uF'
C399:'CC0603','CC0603',,'22uF'
C400:'CC0603','CC0603',,'22uF'
C402:'CC0603','CC0603',,'DNI'
C796:'CC0603','CC0603',,'DNI'
C404:'CC0603','CC0603',,'DNI'
C795:'CC0603','CC0603',,'DNI'
C405:'CC0603','CC0603',,'22uF'
C315:'CC0603','CC0603',,'22uF'
C785:'CC0603','CC0603',,'DNI'
C406:'CC0603','CC0603',,'22uF'
C407:'CC0603','CC0603',,'0.1uF'
C437:'CC0603','CC0603',,'22uF'
C409:'CC0603','CC0603',,'22uF'
C410:'CC0603','CC0603',,'22uF'
C593:'CC0603','CC0603',,'22uF'
C564:'CC0603','CC0603',,'0.1uF'
C139:'CC0603','CC0603',,'22uF'
C769:'CC0603','CC0603',,'0.1uF'
C540:'CC0603','CC0603',,'22uF'
C770:'CC0603','CC0603',,'0.1uF'
C749:'CC0603','CC0603',,'22uF'
C549:'CC0603','CC0603',,'0.1uF'
C750:'CC0603','CC0603',,'22uF'
C771:'CC0603','CC0603',,'0.1uF'
C443:'CC0603','CC0603',,'22uF'
C772:'CC0603','CC0603',,'0.1uF'
C448:'CC0603','CC0603',,'0.1uF'
C774:'CC0603','CC0603',,'0.1uF'
C786:'CC0603','CC0603',,'DNI'
C787:'CC0603','CC0603',,'DNI'
C301:'CC0603','CC0603',,'0.1uF'
C788:'CC0603','CC0603',,'22uF'
C548:'CC0603','CC0603',,'22uF'
C789:'CC0603','CC0603',,'22uF'
C790:'CC0603','CC0603',,'0.1uF'
C791:'CC0603','CC0603',,'.01uF'
C792:'CC0603','CC0603',,'22uF'
C793:'CC0603','CC0603',,'22uF'
C775:'CC0603','CC0603',,'DNI'
C776:'CC0603','CC0603',,'DNI'
C777:'CC0603','CC0603',,'DNI'
C784:'CC0603','CC0603',,'22uF'
C778:'CC0603','CC0603',,'22uF'
C779:'CC0603','CC0603',,'22uf'
C781:'CC0603','CC0603',,'0.1uF'
C453:'CC0603','CC0603',,'22uF'
C782:'CC0603','CC0603',,'22uF'
C783:'CC0603','CC0603',,'22uF'
C794:'CC0603','CC0603',,'22uF'
C797:'CC0603','CC0603',,'DNI'
C503:'CC0603','CC0603',,'0.1uF'
C799:'CC0603','CC0603',,'22uF'
C800:'CC0603','CC0603',,'0.1uF'
C801:'CC0603','CC0603',,'.01'
C802:'CC0603','CC0603',,'22uF'
C803:'CC0603','CC0603',,'22uF'
C561:'CC0603','CC0603',,'0.1uF'
C804:'CC0603','CC0603',,'22uF'
C805:'CC0603','CC0603',,'1uF'
C814:'CC0603','CC0603',,'1uF'
C670:'CC0603','CC0603',,'22uF'
C603:'CC0603','CC0603',,'22uF'
C427:'CC0603','CC0603',,'22uF'
C815:'CC0603','CC0603',,'1uF'
C820:'CC0603','CC0603',,'1uF'
C819:'CC0603','CC0603',,'1uF'
C532:'CC0603','CC0603',,'22uF'
C369:'CC0603','CC0603',,'22uF'
C821:'CC0603','CC0603',,'1uF'
C822:'CC0603','CC0603',,'1uF'
C823:'CC0603','CC0603',,'1uF'
C825:'CC0603','CC0603',,'1uF'
C506:'CC0603','CC0603',,'0.1uF'
C288:'CC0603','CC0603',,'22uF'
C131:'CC0603','CC0603',,'22uF'
C132:'CC0603','CC0603',,'0.1uF'
C601:'CC0603','CC0603',,'0.1uF'
C133:'CC0603','CC0603',,'22uF'
C184:'CC0603','CC0603',,'22uF'
C592:'CC0603','CC0603',,'22uF'
C185:'CC0603','CC0603',,'22uF'
C186:'CC0603','CC0603',,'0.1uF'
C187:'CC0603','CC0603',,'22uF'
C188:'CC0603','CC0603',,'22uF'
C296:'CC0603','CC0603',,'22uF'
C137:'CC0603','CC0603',,'0.1uF'
C138:'CC0603','CC0603',,'22uF'
C364:'CC0603','CC0603',,'22uF'
C203:'CC0603','CC0603',,'0.1uF'
C204:'CC0603','CC0603',,'22uF'
C205:'CC0603','CC0603',,'22uF'
C370:'CC0603','CC0603',,'22uF'
C206:'CC0603','CC0603',,'0.1uF'
C208:'CC0603','CC0603',,'22uF'
C658:'CC0603','CC0603',,'22uF'
C358:'CC0603','CC0603',,'22uF'
C209:'CC0603','CC0603',,'0.1uF'
C614:'CC0603','CC0603',,'22uF'
C450:'CC0603','CC0603',,'22uF'
C140:'CC0603','CC0603',,'0.1uF'
C439:'CC0603','CC0603',,'0.1uF'
C141:'CC0603','CC0603',,'22uF'
C130:'CC0603','CC0603',,'22uF'
C552:'CC0603','CC0603',,'0.1uF'
C142:'CC0603','CC0603',,'22uF'
C554:'CC0603','CC0603',,'22uF'
C183:'CC0603','CC0603',,'0.1uF'
C210:'CC0603','CC0603',,'0.1uF'
